t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,273.15,580.5868570382573,-0.05000000000000009,-0.049927860781880086,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
0.5,273.125,580.5337140765147,-0.048361904947645556,-0.04805682362937668,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
1.0,273.1,580.480571114772,-0.046720638073359994,-0.04618174658605272,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
1.5,273.07500000000005,580.4274281530294,-0.045076192601897005,-0.044302620200823345,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
2.0,273.05000000000007,580.3742851912867,-0.043428561742243674,-0.04241943499886467,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
2.5,273.0250000000001,580.3211422295441,-0.041777738687580064,-0.04053218148153647,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
3.0,273.0000000000001,580.2679992678014,-0.04012371661523939,-0.03864085012632445,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
3.5,272.97500000000014,580.2148563060588,-0.0384664886866682,-0.036745431386784086,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
4.0,272.95000000000016,580.1617133443161,-0.03680604804738686,-0.034845915692445974,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
4.5,272.9250000000002,580.1085703825735,-0.03514238782694936,-0.032942293448799224,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
5.0,272.9000000000002,580.0554274208308,-0.033475501138902825,-0.03103455503719229,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
5.5,272.8750000000002,580.0022844590882,-0.031805381080747645,-0.029122690814768194,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
6.0,272.85000000000025,579.9491414973455,-0.030132020733897345,-0.02720669111441706,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
6.5,272.8250000000003,579.8959985356029,-0.02845541316363701,-0.025286546244706092,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
