t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,273.15,580.5337140765147,-0.05000000000000009,-0.049927860781880086,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
1.0,273.09999999999997,580.4274281530294,-0.0467206380733559,-0.04618174658604934,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
2.0,273.04999999999995,580.3211422295441,-0.04342856174223579,-0.04241943499885785,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
3.0,272.99999999999994,580.2148563060588,-0.04012371661522748,-0.03864085012631594,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
4.0,272.94999999999993,580.1085703825735,-0.036806048047371046,-0.034845915692427176,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
5.0,272.8999999999999,580.0022844590882,-0.03347550113888287,-0.031034555037170026,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
6.0,272.8499999999999,579.8959985356029,-0.03013202073387319,-0.02720669111439202,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
7.0,272.7999999999999,579.7897126121176,-0.02677555141905616,-0.02336224648976701,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
8.0,272.7499999999999,579.6834266886323,-0.023406037522453252,-0.019501143338711144,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
9.0,272.6999999999999,579.577140765147,-0.020023423112089576,-0.015623303444250718,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
10.0,272.64999999999986,579.4708548416617,-0.01662765199468412,-0.011728648194955588,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
11.0,272.59999999999985,579.3645689181764,-0.01321866771433014,-0.007817098582780213,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
12.0,272.54999999999984,579.2582829946911,-0.009796413551172615,-0.0038885752009441476,0.0,0.0,1e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0
