t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,latent_heating_Ks,dT_dt_Ks,ice_active
0.0,273.15,580.5337140765147,-0.05000000000000009,-0.049927860781880086,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
0.5,273.09999999999997,580.4274281530294,-0.0467206380733559,-0.04618174658604934,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
1.0,273.04999999999995,580.3211422295441,-0.04342856174223579,-0.04241943499885785,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
1.5,272.99999999999994,580.2148563060588,-0.04012371661522748,-0.03864085012631594,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
2.0,272.94999999999993,580.1085703825735,-0.036806048047371046,-0.034845915692427176,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
2.5,272.8999999999999,580.0022844590882,-0.03347550113888287,-0.031034555037170026,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
3.0,272.8499999999999,579.8959985356029,-0.03013202073387319,-0.02720669111439202,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
3.5,272.7999999999999,579.7897126121176,-0.02677555141905616,-0.02336224648976701,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
4.0,272.7499999999999,579.6834266886323,-0.023406037522453252,-0.019501143338711144,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
4.5,272.6999999999999,579.577140765147,-0.020023423112089576,-0.015623303444250718,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
5.0,272.64999999999986,579.4708548416617,-0.01662765199468412,-0.011728648194955588,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
5.5,272.59999999999985,579.3645689181764,-0.01321866771433014,-0.007817098582780213,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
6.0,272.54999999999984,579.2582829946911,-0.009796413551172615,-0.0038885752009441476,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
6.5,272.49999999999983,579.1519970712058,-0.006360832520073838,5.7001758191617534e-05,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
7.0,272.4499999999998,579.0457111477205,-0.002911867369276239,0.004019712505340377,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0
7.5,272.3999999999998,578.9274791499295,0.0005505394209448527,0.007999637656408222,500003000.0,0.0,1.0153152876555871e-06,1e-06,3.0630575311174175e-08,0.0,2.1921183407478045e-06,0.0,1.9839900002586844e-07,0.0,0.000493529850810618,-0.09950647014918938,0
8.0,272.3502467649252,578.7169666359518,0.003987630951454693,0.011955289714811829,500003000.0,0.0,1.1243088847650258e-06,1e-06,2.1798719421887728e-07,0.0,2.9765840301534666e-06,0.0,1.7313494802422016e-06,0.0,0.004306839503090054,-0.09569316049690996,0
8.5,272.30240018467674,578.38601616116,0.007137037906233377,0.015605513616686186,500003000.0,0.0,1.3000641363410087e-06,1e-06,3.5151050315196594e-07,0.0,4.602094723031635e-06,0.0,3.732934213996816e-06,0.0,0.009285906004967204,-0.0907140939950328,0
9.0,272.2570431376792,577.9166707341986,0.00990344143463269,0.018847715556660784,500003000.0,0.0,1.510508644833075e-06,1e-06,4.208890169841323e-07,0.0,7.218232470022791e-06,0.0,6.033877619429129e-06,0.0,0.015009645819475446,-0.08499035418052456,0
9.5,272.21454796058896,577.3034988579739,0.012224053051001636,0.021614043909436484,500003000.0,0.0,1.7336129395223464e-06,1e-06,4.462085893785428e-07,0.0,1.0912333717423648e-05,0.0,8.426062572342871e-06,0.0,0.020960354657569333,-0.07903964534243067,0
10.0,272.17502813791776,576.5504514508006,0.014076993835621636,0.02388047247557179,500003000.0,0.0,1.9570398142343235e-06,1e-06,4.4685374942395413e-07,0.0,1.5698573932713618e-05,0.0,1.075343471004464e-05,0.0,0.026749837587175723,-0.07325016241282428,0
10.5,272.13840305671135,575.6685388464334,0.015471603532160155,0.025656494804293314,500003000.0,0.0,2.1741776687603867e-06,1e-06,4.342757090521263e-07,0.0,2.15251561982606e-05,0.0,1.2898466309499577e-05,0.0,0.032085737088307406,-0.0679142629116926,0
11.0,272.1044459252555,574.6737113405484,0.016441131741772797,0.026977334304400018,500003000.0,0.0,2.3815327626880525e-06,1e-06,4.147101878553312e-07,0.0,2.8289866680767056e-05,0.0,1.4778838371731343e-05,0.0,0.03676327953167,-0.06323672046833001,0
11.5,272.0728275650213,573.5846694777871,0.01703587716586883,0.027896606575800526,500003000.0,0.0,2.577378081339445e-06,1e-06,3.91690637302785e-07,0.0,3.58587884376292e-05,0.0,1.6348651132403536e-05,0.0,0.04066828639901377,-0.059331713600986234,0
12.0,272.04316170822085,572.4208500200056,0.017315940793924504,0.028478546471962532,500003000.0,0.0,2.7610494323944942e-06,1e-06,3.6734270211009836e-07,0.0,4.408428137408609e-05,0.0,1.7595526016889748e-05,0.0,0.043769965216143646,-0.05623003478385636,0
12.5,272.0150466908289,571.2008235420435,0.017344466114287378,0.02879074367321322,500003000.0,0.0,2.932548174506815e-06,1e-06,3.4299748422464147e-07,0.0,5.28197918087353e-05,0.0,1.8533767866281407e-05,0.0,0.04610390016487912,-0.053896099835120885,0
13.0,271.98809864091135,569.9412038166122,0.017182201810179886,0.028898290338916787,500003000.0,0.0,3.0922952741998003e-06,1e-06,3.1949419938597094e-07,0.0,6.193042916531937e-05,0.0,1.919585078005541e-05,0.0,0.04775087258720251,-0.0522491274127975,0
13.5,271.96197407720496,568.6560519625782,0.016883758056784198,0.02885974466350266,500003000.0,0.0,3.240967470039062e-06,1e-06,2.973443916785234e-07,0.0,7.129929495981239e-05,0.0,1.9624182300118093e-05,0.0,0.04881637388089078,-0.051183626119109225,0
14.0,271.9363822641454,567.3566882507946,0.01649552130223876,0.02872487605569359,500003000.0,0.0,3.3793834388239564e-06,1e-06,2.768319375697886e-07,0.0,8.083019632791963e-05,0.0,1.9864315726828123e-05,0.0,0.0494137207135028,-0.050586279286497206,0
